Drug1,Drug2,cell,drug1_db,drug2_db,synergy,fold
BORTEZOMIB,DASATINIB,NCIH460,DB00188,DB01254,36.829351125,2
BORTEZOMIB,DASATINIB,NCIH520,DB00188,DB01254,-2.9268076327,2
BORTEZOMIB,DASATINIB,OV90,DB00188,DB01254,-12.6798259617,2
BORTEZOMIB,DASATINIB,RKO,DB00188,DB01254,8.023336153099999,2
BORTEZOMIB,DASATINIB,RPMI7951,DB00188,DB01254,0.375050682,2
BORTEZOMIB,DASATINIB,SKMEL30,DB00188,DB01254,-11.6323367219,2
BORTEZOMIB,DASATINIB,SKMES1,DB00188,DB01254,-10.1548519166,2
BORTEZOMIB,DASATINIB,SKOV3,DB00188,DB01254,-16.7112655271,2
BORTEZOMIB,DASATINIB,SW620,DB00188,DB01254,20.4134468079,2
BORTEZOMIB,DASATINIB,SW837,DB00188,DB01254,26.8847063342,2
BORTEZOMIB,DASATINIB,T47D,DB00188,DB01254,4.1456515656,2
BORTEZOMIB,DASATINIB,UACC62,DB00188,DB01254,-4.7962644596,2
BORTEZOMIB,DASATINIB,VCAP,DB00188,DB01254,-6.8551523804,2
BORTEZOMIB,DASATINIB,ZR751,DB00188,DB01254,39.5390887758,2
BORTEZOMIB,DINACICLIB,A2058,DB00188,DB12021,-20.0646922996,1
BORTEZOMIB,DINACICLIB,A2780,DB00188,DB12021,-27.6346816196,1
BORTEZOMIB,DINACICLIB,A375,DB00188,DB12021,-9.0217212589,1
BORTEZOMIB,DINACICLIB,CAOV3,DB00188,DB12021,-23.152255799,1
BORTEZOMIB,DINACICLIB,DLD1,DB00188,DB12021,-8.5130933827,1
BORTEZOMIB,DINACICLIB,ES2,DB00188,DB12021,-29.5530576409,1
BORTEZOMIB,DINACICLIB,HCT116,DB00188,DB12021,-23.2484859652,1
BORTEZOMIB,DINACICLIB,HT144,DB00188,DB12021,-18.78198328,1
BORTEZOMIB,DINACICLIB,HT29,DB00188,DB12021,-20.6052274564,1
BORTEZOMIB,DINACICLIB,KPL1,DB00188,DB12021,-3.1556602548000003,1
BORTEZOMIB,DINACICLIB,LOVO,DB00188,DB12021,-16.742895631,1
BORTEZOMIB,DINACICLIB,MDAMB436,DB00188,DB12021,-21.865662117600003,1
BORTEZOMIB,DINACICLIB,NCIH1650,DB00188,DB12021,-36.358032721,1
BORTEZOMIB,DINACICLIB,NCIH2122,DB00188,DB12021,-25.366993260900003,1
BORTEZOMIB,DINACICLIB,NCIH23,DB00188,DB12021,-21.3826925779,1
BORTEZOMIB,DINACICLIB,NCIH460,DB00188,DB12021,-24.291652934,1
BORTEZOMIB,DINACICLIB,NCIH520,DB00188,DB12021,-42.0475436533,1
BORTEZOMIB,DINACICLIB,OV90,DB00188,DB12021,-28.6673645478,1
BORTEZOMIB,DINACICLIB,RKO,DB00188,DB12021,-17.3878167351,1
BORTEZOMIB,DINACICLIB,RPMI7951,DB00188,DB12021,-10.208281017,1
BORTEZOMIB,DINACICLIB,SKMEL30,DB00188,DB12021,-11.611821109,1
BORTEZOMIB,DINACICLIB,SKMES1,DB00188,DB12021,-33.4243702723,1
BORTEZOMIB,DINACICLIB,SKOV3,DB00188,DB12021,-32.041946895,1
BORTEZOMIB,DINACICLIB,SW620,DB00188,DB12021,-17.562270029300002,1
BORTEZOMIB,DINACICLIB,SW837,DB00188,DB12021,-33.7829951694,1
BORTEZOMIB,DINACICLIB,T47D,DB00188,DB12021,-30.844482921500003,1
BORTEZOMIB,DINACICLIB,UACC62,DB00188,DB12021,-20.943677582,1
BORTEZOMIB,DINACICLIB,VCAP,DB00188,DB12021,-21.6068173643,1
BORTEZOMIB,DINACICLIB,ZR751,DB00188,DB12021,-28.2751770614,1
BORTEZOMIB,GELDANAMYCIN,A2058,DB00188,DB02424,-12.3447524076,4
BORTEZOMIB,GELDANAMYCIN,A2780,DB00188,DB02424,-17.024767126700002,4
BORTEZOMIB,GELDANAMYCIN,A375,DB00188,DB02424,9.4534861944,4
BORTEZOMIB,GELDANAMYCIN,CAOV3,DB00188,DB02424,-20.8549146767,4
BORTEZOMIB,GELDANAMYCIN,DLD1,DB00188,DB02424,-6.0829007551,4
BORTEZOMIB,GELDANAMYCIN,ES2,DB00188,DB02424,4.4190087001,4
BORTEZOMIB,GELDANAMYCIN,HCT116,DB00188,DB02424,-4.0081973123,4
BORTEZOMIB,GELDANAMYCIN,HT144,DB00188,DB02424,-13.745561958800002,4
BORTEZOMIB,GELDANAMYCIN,HT29,DB00188,DB02424,-30.9141895407,4
BORTEZOMIB,GELDANAMYCIN,KPL1,DB00188,DB02424,-13.3894517756,4
BORTEZOMIB,GELDANAMYCIN,LOVO,DB00188,DB02424,0.9847372262,4
BORTEZOMIB,GELDANAMYCIN,MDAMB436,DB00188,DB02424,4.845160620400001,4
BORTEZOMIB,GELDANAMYCIN,NCIH1650,DB00188,DB02424,-35.6931577342,4
BORTEZOMIB,GELDANAMYCIN,NCIH2122,DB00188,DB02424,-25.0631852128,4
BORTEZOMIB,GELDANAMYCIN,NCIH23,DB00188,DB02424,-41.0843033538,4
BORTEZOMIB,GELDANAMYCIN,NCIH460,DB00188,DB02424,-19.4072736212,4
BORTEZOMIB,GELDANAMYCIN,NCIH520,DB00188,DB02424,-56.4362267432,4
BORTEZOMIB,GELDANAMYCIN,OV90,DB00188,DB02424,-24.8239236714,4
BORTEZOMIB,GELDANAMYCIN,RKO,DB00188,DB02424,0.5004539223,4
BORTEZOMIB,GELDANAMYCIN,RPMI7951,DB00188,DB02424,-8.3006688438,4
BORTEZOMIB,GELDANAMYCIN,SKMEL30,DB00188,DB02424,-5.7375919098,4
BORTEZOMIB,GELDANAMYCIN,SKMES1,DB00188,DB02424,-35.1495067277,4
BORTEZOMIB,GELDANAMYCIN,SKOV3,DB00188,DB02424,-5.7609640495,4
BORTEZOMIB,GELDANAMYCIN,SW620,DB00188,DB02424,-20.8467591734,4
BORTEZOMIB,GELDANAMYCIN,SW837,DB00188,DB02424,-33.3650916333,4
BORTEZOMIB,GELDANAMYCIN,T47D,DB00188,DB02424,-54.2510565254,4
BORTEZOMIB,GELDANAMYCIN,UACC62,DB00188,DB02424,-45.5218456814,4
BORTEZOMIB,GELDANAMYCIN,VCAP,DB00188,DB02424,-3.4154646645,4
BORTEZOMIB,GELDANAMYCIN,ZR751,DB00188,DB02424,-65.7598137284,4
BORTEZOMIB,MK-8669,A2058,DB00188,DB06233,-6.295088842999999,1
BORTEZOMIB,MK-8669,A2780,DB00188,DB06233,4.7905989467,1
BORTEZOMIB,MK-8669,A375,DB00188,DB06233,-23.3265933204,1
BORTEZOMIB,MK-8669,CAOV3,DB00188,DB06233,0.0855783139,1
BORTEZOMIB,MK-8669,DLD1,DB00188,DB06233,9.479898135,1
BORTEZOMIB,MK-8669,ES2,DB00188,DB06233,17.4160891211,1
BORTEZOMIB,MK-8669,HCT116,DB00188,DB06233,1.5923937068,1
BORTEZOMIB,MK-8669,HT144,DB00188,DB06233,-11.5765602803,1
BORTEZOMIB,MK-8669,HT29,DB00188,DB06233,-16.902331221300003,1
BORTEZOMIB,MK-8669,KPL1,DB00188,DB06233,34.403815675,1
BORTEZOMIB,MK-8669,LOVO,DB00188,DB06233,20.4751536743,1
BORTEZOMIB,MK-8669,MDAMB436,DB00188,DB06233,0.7561512639,1
BORTEZOMIB,MK-8669,NCIH1650,DB00188,DB06233,-12.136899241400002,1
BORTEZOMIB,MK-8669,NCIH2122,DB00188,DB06233,37.5940109457,1
BORTEZOMIB,MK-8669,NCIH23,DB00188,DB06233,7.3837913848,1
BORTEZOMIB,MK-8669,NCIH460,DB00188,DB06233,6.3186633134,1
BORTEZOMIB,MK-8669,NCIH520,DB00188,DB06233,-26.7657692606,1
BORTEZOMIB,MK-8669,OV90,DB00188,DB06233,-2.3067858622,1
BORTEZOMIB,MK-8669,RKO,DB00188,DB06233,8.3267608354,1
BORTEZOMIB,MK-8669,RPMI7951,DB00188,DB06233,9.2056138773,1
BORTEZOMIB,MK-8669,SKMEL30,DB00188,DB06233,9.2841125869,1
BORTEZOMIB,MK-8669,SKMES1,DB00188,DB06233,-13.904813495,1
BORTEZOMIB,MK-8669,SKOV3,DB00188,DB06233,-2.4196845654,1
BORTEZOMIB,MK-8669,SW620,DB00188,DB06233,-2.606203184,1
BORTEZOMIB,MK-8669,SW837,DB00188,DB06233,19.053671007,1
BORTEZOMIB,MK-8669,T47D,DB00188,DB06233,-11.069716674,1
BORTEZOMIB,MK-8669,UACC62,DB00188,DB06233,-13.513874525,1
BORTEZOMIB,MK-8669,VCAP,DB00188,DB06233,9.0452549701,1
BORTEZOMIB,MK-8669,ZR751,DB00188,DB06233,-0.3055330878,1
BORTEZOMIB,MK-8776,A2058,DB00188,DB11899,16.4094980088,3
BORTEZOMIB,MK-8776,A2780,DB00188,DB11899,-12.2261795278,3
BORTEZOMIB,MK-8776,A375,DB00188,DB11899,0.1942286446999999,3
BORTEZOMIB,MK-8776,CAOV3,DB00188,DB11899,-15.7578194883,3
BORTEZOMIB,MK-8776,DLD1,DB00188,DB11899,3.7154494037,3
BORTEZOMIB,MK-8776,ES2,DB00188,DB11899,-33.731881950900004,3
BORTEZOMIB,MK-8776,HCT116,DB00188,DB11899,2.4904364119,3
BORTEZOMIB,MK-8776,HT144,DB00188,DB11899,-167.5247326516,3
BORTEZOMIB,MK-8776,HT29,DB00188,DB11899,-18.4238795993,3
BORTEZOMIB,MK-8776,KPL1,DB00188,DB11899,-0.9138380336,3
BORTEZOMIB,MK-8776,LOVO,DB00188,DB11899,-3.3599216488,3
BORTEZOMIB,MK-8776,MDAMB436,DB00188,DB11899,-5.8925599528,3
BORTEZOMIB,MK-8776,NCIH1650,DB00188,DB11899,-22.2930776583,3
BORTEZOMIB,MK-8776,NCIH2122,DB00188,DB11899,-44.4573198675,3
BORTEZOMIB,MK-8776,NCIH23,DB00188,DB11899,-18.1012990246,3
BORTEZOMIB,MK-8776,NCIH460,DB00188,DB11899,4.4023086107,3
BORTEZOMIB,MK-8776,NCIH520,DB00188,DB11899,-26.965496918200003,3
BORTEZOMIB,MK-8776,OV90,DB00188,DB11899,-15.864830706,3
BORTEZOMIB,MK-8776,RKO,DB00188,DB11899,-1.1021519523,3
BORTEZOMIB,MK-8776,RPMI7951,DB00188,DB11899,-22.1084336688,3
BORTEZOMIB,MK-8776,SKMEL30,DB00188,DB11899,-11.383926546,3
BORTEZOMIB,MK-8776,SKMES1,DB00188,DB11899,-29.3220773065,3
BORTEZOMIB,MK-8776,SKOV3,DB00188,DB11899,-16.1694483845,3
BORTEZOMIB,MK-8776,SW620,DB00188,DB11899,17.045085193800002,3
BORTEZOMIB,MK-8776,SW837,DB00188,DB11899,-194.3614259812,3
BORTEZOMIB,MK-8776,T47D,DB00188,DB11899,-8.1263991871,3
BORTEZOMIB,MK-8776,UACC62,DB00188,DB11899,-14.2208113352,3
BORTEZOMIB,MK-8776,VCAP,DB00188,DB11899,4.0349872189,3
BORTEZOMIB,MK-8776,ZR751,DB00188,DB11899,-25.9290630909,3
BORTEZOMIB,OXALIPLATIN,A2058,DB00188,DB00526,1.295470719,2
BORTEZOMIB,OXALIPLATIN,A2780,DB00188,DB00526,-17.1570722554,2
BORTEZOMIB,OXALIPLATIN,A375,DB00188,DB00526,-14.3968790093,2
BORTEZOMIB,OXALIPLATIN,CAOV3,DB00188,DB00526,-35.3204649086,2
BORTEZOMIB,OXALIPLATIN,DLD1,DB00188,DB00526,2.3947625341,2
BORTEZOMIB,OXALIPLATIN,ES2,DB00188,DB00526,-18.1737048911,2
BORTEZOMIB,OXALIPLATIN,HCT116,DB00188,DB00526,-2.620694735,2
BORTEZOMIB,OXALIPLATIN,HT144,DB00188,DB00526,-8.6446494573,2
BORTEZOMIB,OXALIPLATIN,HT29,DB00188,DB00526,-9.2343536254,2
BORTEZOMIB,OXALIPLATIN,KPL1,DB00188,DB00526,3.3314166916000003,2
BORTEZOMIB,OXALIPLATIN,LOVO,DB00188,DB00526,-12.4325014592,2
BORTEZOMIB,OXALIPLATIN,MDAMB436,DB00188,DB00526,-4.970604687200001,2
BORTEZOMIB,OXALIPLATIN,NCIH1650,DB00188,DB00526,-19.2090135213,2
BORTEZOMIB,OXALIPLATIN,NCIH2122,DB00188,DB00526,3.8037568301,2
BORTEZOMIB,OXALIPLATIN,NCIH23,DB00188,DB00526,-16.0151765125,2
BORTEZOMIB,OXALIPLATIN,NCIH460,DB00188,DB00526,-32.0386361863,2
BORTEZOMIB,OXALIPLATIN,NCIH520,DB00188,DB00526,-25.4808281285,2
BORTEZOMIB,OXALIPLATIN,OV90,DB00188,DB00526,-21.9239790037,2
BORTEZOMIB,OXALIPLATIN,RKO,DB00188,DB00526,7.137994479,2
BORTEZOMIB,OXALIPLATIN,RPMI7951,DB00188,DB00526,-26.002930446,2
BORTEZOMIB,OXALIPLATIN,SKMEL30,DB00188,DB00526,-1.6040848755,2
BORTEZOMIB,OXALIPLATIN,SKMES1,DB00188,DB00526,-34.9389804188,2
BORTEZOMIB,OXALIPLATIN,SKOV3,DB00188,DB00526,3.3520433387,2
BORTEZOMIB,OXALIPLATIN,SW620,DB00188,DB00526,-1.7705538954,2
BORTEZOMIB,OXALIPLATIN,SW837,DB00188,DB00526,5.9823862571,2
BORTEZOMIB,OXALIPLATIN,T47D,DB00188,DB00526,-37.7465436506,2
BORTEZOMIB,OXALIPLATIN,UACC62,DB00188,DB00526,-10.8182253594,2
BORTEZOMIB,OXALIPLATIN,VCAP,DB00188,DB00526,-3.6936649621,2
BORTEZOMIB,OXALIPLATIN,ZR751,DB00188,DB00526,-30.6487319443,2
BORTEZOMIB,SN-38,A2058,DB00188,DB05482,28.0928624372,2
BORTEZOMIB,SN-38,A2780,DB00188,DB05482,-22.7412535904,2
BORTEZOMIB,SN-38,A375,DB00188,DB05482,26.754788090500004,2
BORTEZOMIB,SN-38,CAOV3,DB00188,DB05482,-36.2108951928,2
BORTEZOMIB,SN-38,DLD1,DB00188,DB05482,5.3060028454,2
BORTEZOMIB,SN-38,ES2,DB00188,DB05482,-27.1757899885,2
BORTEZOMIB,SN-38,HCT116,DB00188,DB05482,0.2521683931,2
BORTEZOMIB,SN-38,HT144,DB00188,DB05482,-5.1676531845,2
BORTEZOMIB,SN-38,HT29,DB00188,DB05482,-22.6247492867,2
BORTEZOMIB,SN-38,KPL1,DB00188,DB05482,8.1617002159,2
BORTEZOMIB,SN-38,LOVO,DB00188,DB05482,11.5858005014,2
BORTEZOMIB,SN-38,MDAMB436,DB00188,DB05482,2.9171093748000003,2
BORTEZOMIB,SN-38,NCIH1650,DB00188,DB05482,-17.3548030831,2
BORTEZOMIB,SN-38,NCIH2122,DB00188,DB05482,-3.1706248038,2
BORTEZOMIB,SN-38,NCIH23,DB00188,DB05482,-7.15582119,2
BORTEZOMIB,SN-38,NCIH460,DB00188,DB05482,12.9078169749,2
BORTEZOMIB,SN-38,NCIH520,DB00188,DB05482,-36.0663746365,2
BORTEZOMIB,SN-38,OV90,DB00188,DB05482,-23.926542680700003,2
BORTEZOMIB,SN-38,RKO,DB00188,DB05482,15.1714593102,2
BORTEZOMIB,SN-38,RPMI7951,DB00188,DB05482,-14.9578214914,2
BORTEZOMIB,SN-38,SKMEL30,DB00188,DB05482,-13.0243512546,2
BORTEZOMIB,SN-38,SKMES1,DB00188,DB05482,-10.9502671364,2
BORTEZOMIB,SN-38,SKOV3,DB00188,DB05482,-11.0032016134,2
BORTEZOMIB,SN-38,SW620,DB00188,DB05482,-1.3346218754,2
BORTEZOMIB,SN-38,SW837,DB00188,DB05482,-5.7383438753,2
BORTEZOMIB,SN-38,T47D,DB00188,DB05482,-11.0528206128,2
BORTEZOMIB,SN-38,UACC62,DB00188,DB05482,-12.1159668615,2
BORTEZOMIB,SN-38,VCAP,DB00188,DB05482,7.5009647182,2
BORTEZOMIB,SN-38,ZR751,DB00188,DB05482,1.9699858376,2
BORTEZOMIB,SORAFENIB,A2058,DB00188,DB00398,5.6802129162,1
BORTEZOMIB,SORAFENIB,A2780,DB00188,DB00398,-9.6181583365,1
BORTEZOMIB,SORAFENIB,A375,DB00188,DB00398,-1.5107916969,1
BORTEZOMIB,SORAFENIB,CAOV3,DB00188,DB00398,-32.2038816843,1
BORTEZOMIB,SORAFENIB,DLD1,DB00188,DB00398,-1.7447988949000002,1
BORTEZOMIB,SORAFENIB,ES2,DB00188,DB00398,-23.7451074229,1
BORTEZOMIB,SORAFENIB,HCT116,DB00188,DB00398,-4.8966532565,1
BORTEZOMIB,SORAFENIB,HT144,DB00188,DB00398,-8.7983933348,1
BORTEZOMIB,SORAFENIB,HT29,DB00188,DB00398,-14.2436971925,1
BORTEZOMIB,SORAFENIB,KPL1,DB00188,DB00398,-5.8185102296,1
BORTEZOMIB,SORAFENIB,LOVO,DB00188,DB00398,-12.1862265094,1
BORTEZOMIB,SORAFENIB,MDAMB436,DB00188,DB00398,-16.9288523923,1
BORTEZOMIB,SORAFENIB,NCIH1650,DB00188,DB00398,-11.8976052277,1
BORTEZOMIB,SORAFENIB,NCIH2122,DB00188,DB00398,-14.7945422416,1
BORTEZOMIB,SORAFENIB,NCIH23,DB00188,DB00398,-10.4990945232,1
BORTEZOMIB,SORAFENIB,NCIH460,DB00188,DB00398,-5.46597089,1
BORTEZOMIB,SORAFENIB,NCIH520,DB00188,DB00398,-21.3325054016,1
BORTEZOMIB,SORAFENIB,OV90,DB00188,DB00398,-12.6723946105,1
BORTEZOMIB,SORAFENIB,RKO,DB00188,DB00398,-2.6312824308,1
BORTEZOMIB,SORAFENIB,RPMI7951,DB00188,DB00398,-20.1578807437,1
BORTEZOMIB,SORAFENIB,SKMEL30,DB00188,DB00398,-3.1182195036,1
BORTEZOMIB,SORAFENIB,SKMES1,DB00188,DB00398,-18.675375742,1
BORTEZOMIB,SORAFENIB,SKOV3,DB00188,DB00398,0.9509449746,1
BORTEZOMIB,SORAFENIB,SW620,DB00188,DB00398,4.0954145727,1
BORTEZOMIB,SORAFENIB,SW837,DB00188,DB00398,-4.0213985715,1
BORTEZOMIB,SORAFENIB,T47D,DB00188,DB00398,-6.748286209400001,1
BORTEZOMIB,SORAFENIB,UACC62,DB00188,DB00398,-11.401044960899998,1
BORTEZOMIB,SORAFENIB,VCAP,DB00188,DB00398,-20.6807748622,1
BORTEZOMIB,SORAFENIB,ZR751,DB00188,DB00398,-27.0469457197,1
BORTEZOMIB,TOPOTECAN,A2058,DB00188,DB01030,-12.1881843756,3
BORTEZOMIB,TOPOTECAN,A2780,DB00188,DB01030,-2.5878997349,3
BORTEZOMIB,TOPOTECAN,A375,DB00188,DB01030,-52.7833151416,3
BORTEZOMIB,TOPOTECAN,CAOV3,DB00188,DB01030,-3.8963995755,3
BORTEZOMIB,TOPOTECAN,DLD1,DB00188,DB01030,9.2112571726,3
BORTEZOMIB,TOPOTECAN,ES2,DB00188,DB01030,-21.458330338,3
BORTEZOMIB,TOPOTECAN,HCT116,DB00188,DB01030,-2.1976185632,3
BORTEZOMIB,TOPOTECAN,HT144,DB00188,DB01030,-5.6845280502,3
BORTEZOMIB,TOPOTECAN,HT29,DB00188,DB01030,-18.1815799205,3
BORTEZOMIB,TOPOTECAN,KPL1,DB00188,DB01030,7.565814878999999,3
BORTEZOMIB,TOPOTECAN,LOVO,DB00188,DB01030,0.5583294375,3
BORTEZOMIB,TOPOTECAN,MDAMB436,DB00188,DB01030,0.9905856993,3
BORTEZOMIB,TOPOTECAN,NCIH1650,DB00188,DB01030,-37.3530637488,3
BORTEZOMIB,TOPOTECAN,NCIH2122,DB00188,DB01030,-8.7765820691,3
BORTEZOMIB,TOPOTECAN,NCIH23,DB00188,DB01030,-17.177115561,3
BORTEZOMIB,TOPOTECAN,NCIH460,DB00188,DB01030,-33.8197498256,3
BORTEZOMIB,TOPOTECAN,NCIH520,DB00188,DB01030,-22.4500513596,3
BORTEZOMIB,TOPOTECAN,OV90,DB00188,DB01030,-12.2042724832,3
BORTEZOMIB,TOPOTECAN,RKO,DB00188,DB01030,-3.2109014177,3
BORTEZOMIB,TOPOTECAN,RPMI7951,DB00188,DB01030,-6.338895574,3
BORTEZOMIB,TOPOTECAN,SKMEL30,DB00188,DB01030,-4.762114246,3
BORTEZOMIB,TOPOTECAN,SKMES1,DB00188,DB01030,-28.9427255545,3
BORTEZOMIB,TOPOTECAN,SKOV3,DB00188,DB01030,-10.785589607,3
BORTEZOMIB,TOPOTECAN,SW620,DB00188,DB01030,7.747141594199999,3
BORTEZOMIB,TOPOTECAN,SW837,DB00188,DB01030,5.687471399700001,3
BORTEZOMIB,TOPOTECAN,T47D,DB00188,DB01030,-0.6820788916,3
BORTEZOMIB,TOPOTECAN,UACC62,DB00188,DB01030,-1.4980088864,3
BORTEZOMIB,TOPOTECAN,VCAP,DB00188,DB01030,-13.3192031697,3
BORTEZOMIB,TOPOTECAN,ZR751,DB00188,DB01030,-22.4135303565,3
CARBOPLATIN,ABT-888,A2058,DB00958,DB07232,2.7198664064,1
CARBOPLATIN,ABT-888,A2780,DB00958,DB07232,14.4729809807,1
CARBOPLATIN,ABT-888,A375,DB00958,DB07232,5.9307290554,1
CARBOPLATIN,ABT-888,CAOV3,DB00958,DB07232,-1.5051828683,1
CARBOPLATIN,ABT-888,DLD1,DB00958,DB07232,0.5462810972,1
CARBOPLATIN,ABT-888,ES2,DB00958,DB07232,-6.6503639485,1
CARBOPLATIN,ABT-888,HCT116,DB00958,DB07232,16.740636541,1
CARBOPLATIN,ABT-888,HT144,DB00958,DB07232,6.3997247103,1
CARBOPLATIN,ABT-888,HT29,DB00958,DB07232,0.7672246046,1
CARBOPLATIN,ABT-888,KPL1,DB00958,DB07232,12.8054309578,1
CARBOPLATIN,ABT-888,LOVO,DB00958,DB07232,3.6382118134,1
CARBOPLATIN,ABT-888,MDAMB436,DB00958,DB07232,8.5776318769,1
CARBOPLATIN,ABT-888,NCIH1650,DB00958,DB07232,-2.5271519643,1
CARBOPLATIN,ABT-888,NCIH2122,DB00958,DB07232,6.4151107855,1
CARBOPLATIN,ABT-888,NCIH23,DB00958,DB07232,-2.1413831826,1
CARBOPLATIN,ABT-888,NCIH460,DB00958,DB07232,3.1290490477,1
CARBOPLATIN,ABT-888,NCIH520,DB00958,DB07232,-5.6283676948000005,1
CARBOPLATIN,ABT-888,OV90,DB00958,DB07232,-5.3178173467,1
CARBOPLATIN,ABT-888,RKO,DB00958,DB07232,30.1128108957,1
CARBOPLATIN,ABT-888,RPMI7951,DB00958,DB07232,-12.8421296123,1
CARBOPLATIN,ABT-888,SKMEL30,DB00958,DB07232,15.704701298900002,1
CARBOPLATIN,ABT-888,SKMES1,DB00958,DB07232,-3.4748360457,1
CARBOPLATIN,ABT-888,SKOV3,DB00958,DB07232,-0.5494311432,1
CARBOPLATIN,ABT-888,SW620,DB00958,DB07232,7.538592412100001,1
CARBOPLATIN,ABT-888,SW837,DB00958,DB07232,-8.4876305611,1
CARBOPLATIN,ABT-888,T47D,DB00958,DB07232,-72.7582640877,1
CARBOPLATIN,ABT-888,UACC62,DB00958,DB07232,16.1967197901,1
CARBOPLATIN,ABT-888,VCAP,DB00958,DB07232,1.4305425494,1
CARBOPLATIN,ABT-888,ZR751,DB00958,DB07232,8.811154414099999,1
CARBOPLATIN,AZD1775,A2058,DB00958,DB11740,2.0968501681,0
CARBOPLATIN,AZD1775,A2780,DB00958,DB11740,5.8641025621,0
CARBOPLATIN,AZD1775,A375,DB00958,DB11740,7.139264872899999,0
CARBOPLATIN,AZD1775,CAOV3,DB00958,DB11740,4.213649268,0
CARBOPLATIN,AZD1775,DLD1,DB00958,DB11740,-5.4347466834,0
CARBOPLATIN,AZD1775,ES2,DB00958,DB11740,4.7396745113,0
CARBOPLATIN,AZD1775,HCT116,DB00958,DB11740,7.195291178300001,0
CARBOPLATIN,AZD1775,HT144,DB00958,DB11740,6.599224040399999,0
CARBOPLATIN,AZD1775,HT29,DB00958,DB11740,12.2923640192,0
CARBOPLATIN,AZD1775,KPL1,DB00958,DB11740,10.6569636804,0
CARBOPLATIN,AZD1775,LOVO,DB00958,DB11740,1.0369127995,0
CARBOPLATIN,AZD1775,MDAMB436,DB00958,DB11740,11.6873839456,0
CARBOPLATIN,AZD1775,NCIH1650,DB00958,DB11740,20.6054328456,0
CARBOPLATIN,AZD1775,NCIH2122,DB00958,DB11740,-2.8559478215,0
CARBOPLATIN,AZD1775,NCIH23,DB00958,DB11740,-8.6380579175,0
CARBOPLATIN,AZD1775,NCIH460,DB00958,DB11740,4.229104785400001,0
CARBOPLATIN,AZD1775,NCIH520,DB00958,DB11740,-0.6522690825,0
CARBOPLATIN,AZD1775,OV90,DB00958,DB11740,-6.1750860857,0
CARBOPLATIN,AZD1775,RKO,DB00958,DB11740,11.3336169165,0
CARBOPLATIN,AZD1775,RPMI7951,DB00958,DB11740,7.2443794803,0
CARBOPLATIN,AZD1775,SKMEL30,DB00958,DB11740,10.4911730399,0
CARBOPLATIN,AZD1775,SKMES1,DB00958,DB11740,5.7825221549,0
CARBOPLATIN,AZD1775,SKOV3,DB00958,DB11740,18.2623282381,0
CARBOPLATIN,AZD1775,SW620,DB00958,DB11740,-5.3267989279000005,0
CARBOPLATIN,AZD1775,SW837,DB00958,DB11740,5.3360963656,0
CARBOPLATIN,AZD1775,T47D,DB00958,DB11740,-6.1506399112,0
CARBOPLATIN,AZD1775,UACC62,DB00958,DB11740,8.526462242300001,0
CARBOPLATIN,AZD1775,VCAP,DB00958,DB11740,-0.9669990318,0
CARBOPLATIN,AZD1775,ZR751,DB00958,DB11740,-5.660102575800001,0
CARBOPLATIN,BEZ-235,A2058,DB00958,DB11651,-6.0745276072,2
CARBOPLATIN,BEZ-235,A2780,DB00958,DB11651,22.4066740424,2
CARBOPLATIN,BEZ-235,A375,DB00958,DB11651,61.5926017591,2
CARBOPLATIN,BEZ-235,CAOV3,DB00958,DB11651,26.1742320848,2
CARBOPLATIN,BEZ-235,DLD1,DB00958,DB11651,25.005193357800003,2
CARBOPLATIN,BEZ-235,ES2,DB00958,DB11651,18.7488881991,2
CARBOPLATIN,BEZ-235,HCT116,DB00958,DB11651,35.446346592800005,2
CARBOPLATIN,BEZ-235,HT144,DB00958,DB11651,26.6310827464,2
CARBOPLATIN,BEZ-235,HT29,DB00958,DB11651,33.24999869,2
CARBOPLATIN,BEZ-235,KPL1,DB00958,DB11651,28.4184918179,2
CARBOPLATIN,BEZ-235,LOVO,DB00958,DB11651,30.0107267419,2
CARBOPLATIN,BEZ-235,MDAMB436,DB00958,DB11651,29.0313462635,2
CARBOPLATIN,BEZ-235,NCIH1650,DB00958,DB11651,29.9131551793,2
CARBOPLATIN,BEZ-235,NCIH2122,DB00958,DB11651,16.5531133177,2
CARBOPLATIN,BEZ-235,NCIH23,DB00958,DB11651,42.1814269663,2
CARBOPLATIN,BEZ-235,NCIH460,DB00958,DB11651,62.996079982,2
CARBOPLATIN,BEZ-235,NCIH520,DB00958,DB11651,27.2399196763,2
CARBOPLATIN,BEZ-235,OV90,DB00958,DB11651,26.4491087115,2
CARBOPLATIN,BEZ-235,RKO,DB00958,DB11651,21.6794196595,2
CARBOPLATIN,BEZ-235,RPMI7951,DB00958,DB11651,14.694595398,2
CARBOPLATIN,BEZ-235,SKMEL30,DB00958,DB11651,34.989680997600004,2
CARBOPLATIN,BEZ-235,SKMES1,DB00958,DB11651,19.2953758415,2
CARBOPLATIN,BEZ-235,SKOV3,DB00958,DB11651,-6.2322248463,2
CARBOPLATIN,BEZ-235,SW620,DB00958,DB11651,13.5782446719,2
CARBOPLATIN,BEZ-235,SW837,DB00958,DB11651,27.2121750949,2
CARBOPLATIN,BEZ-235,T47D,DB00958,DB11651,107.9732846567,2
